# OpAmp-A differential input AC sweep
# vcm,av1Hz,gbw,pm
0,15.7448,69169.4,97.5869
0.05,37.6355,600284,74.9314
0.1,48.4207,1.24069E+06,60.7037
0.15,57.0003,1.55795E+06,54.4004
0.2,65.8585,1.70538E+06,51.4649
0.25,73.5314,1.74864E+06,50.6374
0.3,77.843,1.74689E+06,50.7393
0.35,79.9565,1.73229E+06,51.0934
0.4,81.1478,1.71322E+06,51.5292
0.45,81.9297,1.69188E+06,52.0032
0.5,82.4945,1.66965E+06,52.4905
0.55,82.9246,1.6472E+06,52.9787
0.6,83.2612,1.62484E+06,53.4617
0.65,83.5275,1.60293E+06,53.9343
0.7,83.7382,1.58137E+06,54.3976
0.75,83.9033,1.5604E+06,54.8479
0.8,84.0301,1.53993E+06,55.287
0.85,84.1241,1.52E+06,55.714
0.9,84.1897,1.50065E+06,56.1283
0.95,84.2306,1.48178E+06,56.5319
1,84.2496,1.46354E+06,56.9222
1.05,84.2493,1.44571E+06,57.3032
1.1,84.2317,1.42851E+06,57.6709
1.15,84.1986,1.41166E+06,58.0303
1.2,84.1513,1.3954E+06,58.3774
1.25,84.0912,1.37946E+06,58.717
1.3,84.0191,1.36406E+06,59.0451
1.35,83.9358,1.34894E+06,59.3665
1.4,83.842,1.33434E+06,59.677
1.45,83.7381,1.32E+06,59.9813
1.5,83.6245,1.30611E+06,60.2758
1.55,83.5013,1.29249E+06,60.5641
1.6,83.3687,1.27925E+06,60.8441
1.65,83.2266,1.2663E+06,61.1175
1.7,83.0751,1.25364E+06,61.3842
1.75,82.9138,1.24131E+06,61.6439
1.8,82.7426,1.22918E+06,61.8986
1.85,82.5609,1.21742E+06,62.1453
1.9,82.3684,1.20584E+06,62.3878
1.95,82.1643,1.19455E+06,62.6234
2,81.9478,1.18349E+06,62.8539
2.05,81.7178,1.17261E+06,63.0799
2.1,81.473,1.16203E+06,63.2993
2.15,81.2117,1.15157E+06,63.5153
2.2,80.9319,1.14137E+06,63.7256
2.25,80.631,1.13133E+06,63.9317
2.3,80.3056,1.12141E+06,64.1347
2.35,79.9514,1.11175E+06,64.3318
2.4,79.5625,1.10216E+06,64.5265
2.45,79.1306,1.0927E+06,64.7178
2.5,78.6433,1.08338E+06,64.9056
2.55,78.0799,1.07406E+06,65.0928
2.6,77.4007,1.06478E+06,65.2786
2.65,76.5108,1.05531E+06,65.4694
2.7,75.113,1.04509E+06,65.6813
2.75,72.0161,1.03155E+06,65.9952
2.8,63.6001,996411,66.9943
2.85,51.7099,883685,70.3869
2.9,41.8937,686304,75.9807
2.95,29.86,361404,85.2988
3,7.42652,28444.9,115.213
