# OpAmp-B differential input AC sweep
# vcm,av1Hz,gbw,pm
0,-106.066,,
0.05,53.1192,742058,70.7047
0.1,66.0452,1.46563E+06,56.254
0.15,74.8736,1.80062E+06,50.722
0.2,83.0302,1.95708E+06,48.2853
0.25,90.4004,2.02012E+06,47.2978
0.3,97.3432,2.04688E+06,46.7978
0.35,104.141,2.05394E+06,46.617
0.4,108.454,2.04314E+06,46.8067
0.45,110.217,2.0248E+06,47.158
0.5,110.872,2.0031E+06,47.5766
0.55,111.087,1.9793E+06,48.0368
0.6,111.097,1.95448E+06,48.5148
0.65,110.993,1.92967E+06,48.9925
0.7,110.825,1.90503E+06,49.4653
0.75,110.628,1.88105E+06,49.9267
0.8,110.448,1.8575E+06,50.3788
0.85,110.359,1.83465E+06,50.8183
0.9,110.495,1.81234E+06,51.2473
0.95,111.031,1.7907E+06,51.6649
1,112.07,1.76964E+06,52.0727
1.05,113.49,1.74921E+06,52.4707
1.1,114.999,1.72934E+06,52.8601
1.15,116.334,1.71005E+06,53.2403
1.2,117.365,1.69126E+06,53.6122
1.25,118.077,1.67301E+06,53.9749
1.3,118.524,1.65518E+06,54.33
1.35,118.776,1.6379E+06,54.6756
1.4,118.897,1.62094E+06,55.0147
1.45,118.937,1.60454E+06,55.3441
1.5,118.928,1.58843E+06,55.6677
1.55,118.89,1.5728E+06,55.9826
1.6,118.834,1.55749E+06,56.2914
1.65,118.765,1.54253E+06,56.5935
1.7,118.686,1.52796E+06,56.8885
1.75,118.599,1.51361E+06,57.1789
1.8,118.502,1.49972E+06,57.4611
1.85,118.396,1.48604E+06,57.7391
1.9,118.279,1.47267E+06,58.0111
1.95,118.151,1.45961E+06,58.2774
2,118.01,1.44673E+06,58.5399
2.05,117.854,1.43423E+06,58.7955
2.1,117.681,1.42192E+06,59.0473
2.15,117.488,1.40981E+06,59.2952
2.2,117.269,1.39801E+06,59.5373
2.25,117.02,1.38634E+06,59.7768
2.3,116.733,1.37489E+06,60.0122
2.35,116.395,1.36366E+06,60.2434
2.4,115.987,1.35253E+06,60.4727
2.45,115.473,1.3416E+06,60.6988
2.5,114.771,1.3307E+06,60.9254
2.55,113.638,1.31952E+06,61.1608
2.6,111.194,1.30732E+06,61.4296
2.65,104.678,1.28965E+06,61.8622
2.7,94.8167,1.25809E+06,62.71
2.75,87.828,1.22223E+06,63.6454
2.8,80.2887,1.17307E+06,64.8839
2.85,70.5149,1.05671E+06,67.8898
2.9,61.5988,833498,73.3662
2.95,52.1406,448947,82.1087
3,-28.8618,,
